Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Number of Results;Keyword Difficulty
china travel service;1;110;1.44;0.17;45.12;844000000;34.00
cts tours;1;70;0.73;0.33;28.71;2670000;33.00
china tours from new zealand;8;140;0.71;0.77;2.05;42500000;4.00
cts;20;2900;0.28;0.00;2.05;101000000;47.00
cts;21;2900;0.28;0.00;2.05;101000000;47.00
china travel;5;110;0.90;0.48;2.05;1770000000;11.00
terracotta warriors;18;1600;0.72;0.04;1.02;5140000;56.00
10 day china tour packages;36;30;0.73;0.70;0.00;48700000;11.00
10 day china tour packages;68;30;0.73;0.70;0.00;48700000;11.00
10 day china tour packages;77;30;0.73;0.70;0.00;48700000;11.00
how to get to terracotta warriors;56;40;0.25;0.50;0.00;4900000;25.00
china travel deals;37;30;0.85;0.73;0.00;265000000;8.00
china travel deals;48;30;0.85;0.73;0.00;265000000;8.00
japan tours from nz;55;210;0.84;0.75;0.00;84700000;11.00
china tours from new zealand;36;140;0.71;0.77;0.00;42500000;4.00
china package;67;30;0.82;0.57;0.00;571000000;12.00
globus china tours;34;30;0.92;0.88;0.00;121;7.00
terracotta army tour;40;30;0.92;0.55;0.00;7140000;23.00
china travel packages;27;170;0.79;0.62;0.00;126000000;9.00
china travel packages;40;170;0.79;0.62;0.00;126000000;9.00
china travel packages;93;170;0.79;0.62;0.00;126000000;9.00
ktc tours;12;30;0.00;0.10;0.00;249000;17.00
ktc tours;20;30;0.00;0.10;0.00;249000;17.00
china tours;23;260;1.57;0.75;0.00;154;16.00
china tours;54;260;1.57;0.75;0.00;154;16.00
china tours;70;260;1.57;0.75;0.00;154;16.00
china tours;88;260;1.57;0.75;0.00;154;16.00
cts auckland;5;90;0.00;0.06;0.00;548000;21.00
cts auckland;65;90;0.00;0.06;0.00;548000;21.00
china vacation packages;53;30;0.80;0.90;0.00;117;18.00
china travel service nz;1;40;0.71;0.33;0.00;267000000;19.00
china travel service nz;5;40;0.71;0.33;0.00;267000000;19.00
china travel service nz;20;40;0.71;0.33;0.00;267000000;19.00
china travel service nz;40;40;0.71;0.33;0.00;267000000;19.00
china travel service nz;49;40;0.71;0.33;0.00;267000000;19.00
china travel service nz;82;40;0.71;0.33;0.00;267000000;19.00
forbidden city wellington;42;90;0.00;0.33;0.00;1360000;33.00
china trip;38;140;0.85;0.31;0.00;192;9.00
tours in shanghai china;36;30;1.12;0.91;0.00;0;16.00
qantas china tours;30;30;0.00;0.33;0.00;91;28.00
cts limited;28;30;0.00;0.33;0.00;0;28.00
cts limited;38;30;0.00;0.33;0.00;0;28.00
shanghai stopover tour;25;30;0.00;0.46;0.00;2390000;20.00
shanghai stopover tour;31;30;0.00;0.46;0.00;2390000;20.00
travel china guide;38;30;1.66;0.66;0.00;172;24.00
china holiday packages;43;170;0.79;0.62;0.00;66700000;9.00
china holiday packages;84;170;0.79;0.62;0.00;66700000;9.00
china private tours;39;30;1.45;0.81;0.00;83600000;29.00
china private tours;68;30;1.45;0.81;0.00;83600000;29.00
holidays to china;66;30;1.05;0.54;0.00;0;8.00
china tours with yangtze river cruise;65;30;0.00;0.57;0.00;1390000;6.00
china adventure travel;30;30;0.00;0.33;0.00;201000000;16.00
china trip package;49;170;0.79;0.62;0.00;117;11.00
china tour packages;29;170;0.79;0.62;0.00;58900000;9.00
china tour packages;95;170;0.79;0.62;0.00;58900000;9.00
cts nz;2;40;0.71;0.33;0.00;8950000;29.00
cts nz;31;40;0.71;0.33;0.00;8950000;29.00
cts nz;58;40;0.71;0.33;0.00;8950000;29.00
china tours from nz;11;140;0.71;0.77;0.00;91200000;11.00
new zealand to china visa;39;30;0.00;0.33;0.00;130;16.00
china travel visa application form;31;30;0.00;0.33;0.00;0;24.00
china travel visa application form;41;30;0.00;0.33;0.00;0;24.00
luxury china tours;59;30;1.72;0.95;0.00;0;16.00
china tour deals;11;30;0.00;0.57;0.00;130;8.00
china tour deals;82;30;0.00;0.57;0.00;130;8.00
